backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C13,connected_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,isolated_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,isolated_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,isolated_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,redundant_pair_count,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,redundant_pair_count,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,redundant_pair_count,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,eligible_vertex_count,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,eligible_vertex_count,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,eligible_vertex_count,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,birth_protected_count,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,birth_protected_count,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,birth_protected_count,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,isolated_assignments_per_rollout,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,isolated_assignments_per_rollout,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,isolated_assignments_per_rollout,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,redundant_assignments_per_rollout,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,redundant_assignments_per_rollout,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,redundant_assignments_per_rollout,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,repeat_assignments_per_rollout,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,repeat_assignments_per_rollout,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,repeat_assignments_per_rollout,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,passive_graph_density,D8_minus_D4,-0.055383297629163906,0.02872257102785407,3,-0.08639494009569276,-0.029694421348603506,-0.050060531443195444
C13,passive_graph_density,H10k_minus_H5k,0.03870030291994875,0.029994914894954074,3,0.052993793658500044,0.004232009069012166,0.058875106032334035
C13,passive_graph_density,interaction,0.052404327721875754,0.09601672242490744,3,0.003335155227733533,0.16303986180505847,-0.009162033867164743
C13,passive_updates_per_rollout,D8_minus_D4,45.61412814675623,49.50278213817961,3,89.72842909705469,-7.922726554607493,55.036681897821495
C13,passive_updates_per_rollout,H10k_minus_H5k,56.7857310186026,130.58049178444193,3,77.62561956668696,175.69304264463847,-82.96146915551765
C13,passive_updates_per_rollout,interaction,-84.92973248389171,208.86261518226087,3,-48.18059023496107,-309.7279394370796,103.11933222036555
C13,passive_stale_per_rollout,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,passive_stale_per_rollout,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,passive_stale_per_rollout,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,passive_over_gap_per_rollout,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,passive_over_gap_per_rollout,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,passive_over_gap_per_rollout,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,exploration_selection_fraction,D8_minus_D4,0.011039622781942565,0.02137815416137381,3,-0.013286490736277301,0.026836634159849326,0.01956872492225567
C13,exploration_selection_fraction,H10k_minus_H5k,-0.04422916557744613,0.048837658996314086,3,-0.014424313263690536,-0.017672334382597632,-0.10059084908605023
C13,exploration_selection_fraction,interaction,-0.0828941618763282,0.038369336934884334,3,-0.07199811748867424,-0.051151282234499384,-0.12553308590581097
C13,forced_exploration_fraction,D8_minus_D4,0.004824386085755916,0.018612412598374546,3,-0.014365308403162969,0.022800081843259767,0.00603838481717095
C13,forced_exploration_fraction,H10k_minus_H5k,-0.036250035433551486,0.040921459538655176,3,-0.005425909224807457,-0.020646444693866672,-0.08267775238198033
