condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,mean_lifetime_hoyer_sparsity,mean_active_unit_lifetime_hoyer_sparsity,mean_population_hoyer_sparsity,mean_lifetime_kurtosis,mean_active_unit_lifetime_kurtosis,best_corr_to_latent_probs,best_corr_to_latent_values,best_corr_to_latent_samples,best_weight_alignment_to_latent_vectors,mean_weight_row_entropy_to_latents,mean_weight_row_effective_latents,mean_weight_row_participation_latents,mean_weight_col_entropy_over_rows,mean_weight_col_effective_rows,mean_weight_col_participation_rows
punish,0.5,6,0.285888671875,0.2861328125,0.0021699693401649386,2.287109375,3.5495364249134154,1.0,0.6953125,1.4898218829516539,1.7351854699252618,0.6179207326335912,0.6179207326335912,0.7243567227248141,10.249441244443133,10.249441244443133,0.1861964070852638,0.26907218088979695,0.2446309339869489,0.4625470173518644,0.9104895659199765,6.641365000695069,6.124638036503367,0.999566065450856,7.992803348653192,7.98639885093961
no_learning,0.5,7,0.30615234375,0.306640625,0.017787114843834946,2.44921875,1.0831447339337608,1.0,0.033203125,1.6565389696169088,1.617768438279115,0.5905099992853146,0.5905099992853146,0.8042955513954166,10.823853495825308,10.823853495825308,0.28501487610816534,0.3709208404007633,0.33524427231716686,0.33514894802760564,0.861457076142512,6.029029357739601,5.253955671064075,0.8569043897672746,5.994611202412614,5.132662948189619
encourage,0.5,7,0.375732421875,0.3740234375,0.007368841930071568,3.005859375,2.972853224214847,1.0,0.380859375,2.1227586206896554,1.5082396728529508,0.49498844665697306,0.49498844665697306,0.6742820492425301,3.592907947016499,3.592907947016499,0.46078945893222834,0.5947125131913934,0.5481108437503022,0.8310509408024483,0.8083485654000568,5.374602982164575,4.488224451666792,0.9284805404164718,6.95707220839474,6.473423868001348
punish,0.5,7,0.281494140625,0.28125,0.002663259793612235,2.251953125,3.5516551068203026,1.0,0.703125,1.4820051413881747,1.7340461576829937,0.6183866417504166,0.6183866417504166,0.7267769979425862,10.231082038262157,10.231082038262157,0.1843315966257062,0.2679160919952449,0.24939515256723704,0.45932606510800544,0.9138663299599794,6.688187209950016,6.165402114815247,0.9995185498970164,7.992020020974625,7.9844746089306735
no_learning,0.5,8,0.31201171875,0.3125,0.030489244659666338,2.49609375,1.3820785039971273,1.0,0.08984375,1.84149855907781,1.6042656675295075,0.5784020378516985,0.5784020378516985,0.7849496615630434,8.365719185346208,8.365719185346208,0.3705345090947431,0.45010827513195895,0.41463644437501745,0.3763862837609744,0.8998306471040332,6.529938926632012,5.834796575634252,0.9038950807858925,6.556629890945677,5.880000775058254
encourage,0.5,8,0.33447265625,0.37109375,0.06342959500374307,2.67578125,2.26909419199566,1.0,0.236328125,2.0663650075414783,1.6226744165450557,0.5281183981940043,0.5281183981940043,0.7233779028963835,4.320968217188163,4.320968217188163,0.48195483429815134,0.6276059896503485,0.5829780723203966,0.8098653702774158,0.8139024357636274,5.451219904947299,4.491463588646272,0.8651957427150642,6.277442991247205,5.630441288895716
punish,0.5,8,0.2822265625,0.2822265625,0.0029296875,2.2578125,3.5421482132801487,1.0,0.701171875,1.4782608695652173,1.7351837118334053,0.6181166451185671,0.6181166451185671,0.7266211488894798,10.113600671338528,10.113600671338528,0.18114693419445707,0.2631840757047408,0.24149341141460073,0.46220475595400956,0.9097913721070533,6.631738547308748,6.113762408557798,0.999484764355183,7.9914610812973335,7.9836444217880995
no_learning,0.5,9,0.312255859375,0.3076171875,0.024867613265946487,2.498046875,1.4882338308554655,1.0,0.048828125,1.8892171344165436,1.6526381681685625,0.5800209612826704,0.5800209612826704,0.7943916346928096,10.000450689894436,10.000450689894436,0.38671293780570737,0.4230729972935095,0.3868428056721773,0.4199332716374553,0.8531323598131274,5.945599633478172,5.064254404460268,0.8681245091582706,6.111660052118568,5.353052089914168
encourage,0.5,9,0.36181640625,0.376953125,0.04459962113565917,2.89453125,2.3511569158126044,1.0,0.208984375,2.2557077625570776,1.5862801478936608,0.49975723779893216,0.49975723779893216,0.6901557288462559,3.649044261453498,3.649044261453498,0.4898073705312106,0.6144400538831942,0.5833435974282742,0.8418612279128743,0.8183012993918168,5.493880420648388,4.574948997255709,0.8715146418807344,6.43700040426307,5.929601146272377
punish,0.5,9,0.285400390625,0.28515625,0.0048275683430872044,2.283203125,3.542690413370922,1.0,0.697265625,1.4853875476493013,1.7350594643970938,0.6182851394190428,0.6182851394190428,0.7228157756417892,10.231906878709795,10.231906878709795,0.1766848604820159,0.2651292927041708,0.24258259365676624,0.4627571188154145,0.9065723870158844,6.5876724307793975,6.089353298961241,0.9964345594364478,7.942356861196556,7.908821936037088
no_learning,1.0,0,0.165771484375,0.16796875,0.017885696198625355,1.326171875,1.2315270126793745,1.0,0.291015625,1.4028925619834711,0.6393646804431421,0.7157311970167178,0.7157311970167178,0.9150440391527839,19.12078228038319,19.12078228038319,0.3251168168122836,0.4135550050170633,0.3665080048901854,0.3333846769519655,0.8994030282055496,6.507844337177997,5.872643650754575,0.9042892528198263,6.5811317637756295,5.979040874415422
encourage,1.0,0,0.177490234375,0.1748046875,0.024167455682261068,1.419921875,1.1698664427602343,1.0,0.208984375,1.7950617283950616,0.622062486108504,0.6774212347484074,0.6774212347484074,0.9045422522370486,10.778304012671743,10.778304012671743,0.5250688592572957,0.6089570248349527,0.5581393100142585,0.7315892866945499,0.8395442486288139,5.7394564209179135,4.782817396066539,0.8586877801374371,6.172233656843947,5.420184953737444
