backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C05,passive_over_gap_per_rollout,interaction,-0.013114754098360657,0.02271542042713282,3,0.0,-0.03934426229508197,0.0
C05,exploration_selection_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,exploration_selection_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,exploration_selection_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,forced_exploration_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,forced_exploration_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,forced_exploration_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,frontier_selection_rate,D8_minus_D4,,,0,,,
C05,frontier_selection_rate,H10k_minus_H5k,,,0,,,
C05,frontier_selection_rate,interaction,,,0,,,
C05,frontier_yield,D8_minus_D4,,,0,,,
C05,frontier_yield,H10k_minus_H5k,,,0,,,
C05,frontier_yield,interaction,,,0,,,
C05,frontier_reached_fraction,D8_minus_D4,,,0,,,
C05,frontier_reached_fraction,H10k_minus_H5k,,,0,,,
C05,frontier_reached_fraction,interaction,,,0,,,
C05,recruitment_total,D8_minus_D4,2.1666666666666665,3.055050463303893,3,5.5,-0.5,1.5
C05,recruitment_total,H10k_minus_H5k,2.1666666666666665,4.725815626252609,3,7.5,0.5,-1.5
C05,recruitment_total,interaction,3.6666666666666665,9.865765724632494,3,15.0,-1.0,-3.0
C05,repeat_total,D8_minus_D4,1.0,1.7320508075688772,3,3.0,0.0,0.0
C05,repeat_total,H10k_minus_H5k,1.0,1.7320508075688772,3,3.0,0.0,0.0
C05,repeat_total,interaction,2.0,3.4641016151377544,3,6.0,0.0,0.0
C05,tiny_residual_total,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,tiny_residual_total,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,tiny_residual_total,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,coverage_auc,D8_minus_D4,-3.1993051301834186,14.888367452022317,3,-5.349986061104715,-16.895369947784573,12.647440618339033
C13,coverage_auc,H10k_minus_H5k,-11.725191534139269,13.45231163279086,3,-2.7661569440052247,-27.194088369257976,-5.215329289154603
C13,coverage_auc,interaction,17.675554257217552,15.350231410738568,3,7.661872374338827,35.34826412757785,10.016526269735976
C13,unique_cells,D8_minus_D4,-6.400334816946149,24.058411525953677,3,-6.483015477053765,-30.417299458013513,17.699310484228832
C13,unique_cells,H10k_minus_H5k,-20.94997715383936,21.878483539720772,3,-6.33180126134538,-46.1028242942672,-10.415305905905496
C13,unique_cells,interaction,31.30863596329875,30.502457773429597,3,12.855358281332109,66.51617812410583,14.554371484458297
C13,coverage_entropy,D8_minus_D4,-0.08723374151374148,0.3556699063822677,3,0.005199959608340743,-0.47999509207243984,0.21309390792287464
C13,coverage_entropy,H10k_minus_H5k,-0.3855374651615872,0.35568322140408853,3,-0.10618895333466516,-0.7859488697390866,-0.2644745724110098
