source,repeat,prefix_seed,command,target,initial_action_probabilities,commanded,deadline,hit,hit_time,first_distinct,censored,timeout,elapsed,path_length,start_position,endpoint,exact_start_verified
15,2,31002,1,0,"[0.04791753366589546, 0.16902294754981995, 0.11242923140525818, 0.11532769352197647, 0.25086963176727295, 0.05346120893955231, 0.1575210690498352, 0.09345072507858276]",False,64,False,,1,False,True,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,1,1,"[0.04791753366589546, 0.16902294754981995, 0.11242923140525818, 0.11532769352197647, 0.25086963176727295, 0.05346120893955231, 0.1575210690498352, 0.09345072507858276]",True,64,True,12.0,1,False,False,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,1,2,"[0.04791753366589546, 0.16902294754981995, 0.11242923140525818, 0.11532769352197647, 0.25086963176727295, 0.05346120893955231, 0.1575210690498352, 0.09345072507858276]",False,64,True,59.0,1,False,False,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,1,3,"[0.04791753366589546, 0.16902294754981995, 0.11242923140525818, 0.11532769352197647, 0.25086963176727295, 0.05346120893955231, 0.1575210690498352, 0.09345072507858276]",False,64,False,,1,False,True,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,2,0,"[0.04865419492125511, 0.16843056678771973, 0.11036992073059082, 0.11420606821775436, 0.25039273500442505, 0.05411608889698982, 0.1600075215101242, 0.0938229113817215]",False,64,False,,1,False,True,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,2,1,"[0.04865419492125511, 0.16843056678771973, 0.11036992073059082, 0.11420606821775436, 0.25039273500442505, 0.05411608889698982, 0.1600075215101242, 0.0938229113817215]",False,64,True,12.0,1,False,False,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,2,2,"[0.04865419492125511, 0.16843056678771973, 0.11036992073059082, 0.11420606821775436, 0.25039273500442505, 0.05411608889698982, 0.1600075215101242, 0.0938229113817215]",True,64,True,59.0,1,False,False,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,2,3,"[0.04865419492125511, 0.16843056678771973, 0.11036992073059082, 0.11420606821775436, 0.25039273500442505, 0.05411608889698982, 0.1600075215101242, 0.0938229113817215]",False,64,False,,1,False,True,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,3,0,"[0.048028767108917236, 0.16913796961307526, 0.11157900094985962, 0.11483988910913467, 0.2494293451309204, 0.05375828221440315, 0.158758282661438, 0.09446842223405838]",False,64,False,,1,False,True,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,3,1,"[0.048028767108917236, 0.16913796961307526, 0.11157900094985962, 0.11483988910913467, 0.2494293451309204, 0.05375828221440315, 0.158758282661438, 0.09446842223405838]",False,64,True,12.0,1,False,False,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,3,2,"[0.048028767108917236, 0.16913796961307526, 0.11157900094985962, 0.11483988910913467, 0.2494293451309204, 0.05375828221440315, 0.158758282661438, 0.09446842223405838]",False,64,True,59.0,1,False,False,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,2,31002,3,3,"[0.048028767108917236, 0.16913796961307526, 0.11157900094985962, 0.11483988910913467, 0.2494293451309204, 0.05375828221440315, 0.158758282661438, 0.09446842223405838]",True,64,False,,1,False,True,64,724.4484835000814,"[1716.1256103515625, 493.1216125488281, 25.125]","[1647.38134765625, 862.5700073242188, 25.125]",True
15,3,31003,0,0,"[0.06452018022537231, 0.08313613384962082, 0.07822363078594208, 0.11838528513908386, 0.18255706131458282, 0.0768386647105217, 0.09881188720464706, 0.29752716422080994]",True,64,False,,1,False,True,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,0,1,"[0.06452018022537231, 0.08313613384962082, 0.07822363078594208, 0.11838528513908386, 0.18255706131458282, 0.0768386647105217, 0.09881188720464706, 0.29752716422080994]",False,64,True,5.0,1,False,False,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,0,2,"[0.06452018022537231, 0.08313613384962082, 0.07822363078594208, 0.11838528513908386, 0.18255706131458282, 0.0768386647105217, 0.09881188720464706, 0.29752716422080994]",False,64,False,,1,False,True,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,0,3,"[0.06452018022537231, 0.08313613384962082, 0.07822363078594208, 0.11838528513908386, 0.18255706131458282, 0.0768386647105217, 0.09881188720464706, 0.29752716422080994]",False,64,True,32.0,1,False,False,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,1,0,"[0.064638651907444, 0.08334546536207199, 0.07885321974754333, 0.11946821957826614, 0.1828003078699112, 0.07733592391014099, 0.0982740968465805, 0.2952841520309448]",False,64,False,,1,False,True,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,1,1,"[0.064638651907444, 0.08334546536207199, 0.07885321974754333, 0.11946821957826614, 0.1828003078699112, 0.07733592391014099, 0.0982740968465805, 0.2952841520309448]",True,64,True,5.0,1,False,False,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,1,2,"[0.064638651907444, 0.08334546536207199, 0.07885321974754333, 0.11946821957826614, 0.1828003078699112, 0.07733592391014099, 0.0982740968465805, 0.2952841520309448]",False,64,False,,1,False,True,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,1,3,"[0.064638651907444, 0.08334546536207199, 0.07885321974754333, 0.11946821957826614, 0.1828003078699112, 0.07733592391014099, 0.0982740968465805, 0.2952841520309448]",False,64,True,32.0,1,False,False,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,2,0,"[0.06424631178379059, 0.0827745720744133, 0.07792317867279053, 0.11832115799188614, 0.18325045704841614, 0.0770760253071785, 0.0990355983376503, 0.2973727583885193]",False,64,False,,1,False,True,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,2,1,"[0.06424631178379059, 0.0827745720744133, 0.07792317867279053, 0.11832115799188614, 0.18325045704841614, 0.0770760253071785, 0.0990355983376503, 0.2973727583885193]",False,64,True,5.0,1,False,False,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,2,2,"[0.06424631178379059, 0.0827745720744133, 0.07792317867279053, 0.11832115799188614, 0.18325045704841614, 0.0770760253071785, 0.0990355983376503, 0.2973727583885193]",True,64,False,,1,False,True,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,2,3,"[0.06424631178379059, 0.0827745720744133, 0.07792317867279053, 0.11832115799188614, 0.18325045704841614, 0.0770760253071785, 0.0990355983376503, 0.2973727583885193]",False,64,True,32.0,1,False,False,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
15,3,31003,3,0,"[0.06423051655292511, 0.08305218815803528, 0.07835622876882553, 0.11947008222341537, 0.18043430149555206, 0.07765673100948334, 0.0987890437245369, 0.2980108857154846]",False,64,False,,1,False,True,64,558.3707225326347,"[1605.8115234375, 581.947998046875, 25.125]","[1759.19873046875, 758.3579711914062, 25.125]",True
