label,frames,visited_cells,visited_cell_fraction,mean_spatial_information_bits,median_spatial_information_bits,max_spatial_information_bits,units_si_over_0_5_bits,mean_active_fraction,silent_units,map_cosine_mean,map_cosine_min,map_cosine_max,unique_peak_bins,mean_pre_threshold_logit,mean_pre_threshold_logit_std,mean_pre_threshold_above_fraction
GSR_C13_D8_H10K_S99__00_GSR_C13_D8_H10K_S99__gsr_c13_d8_h10k__s99__f74973184,10001,223,0.6177285318559557,0.17600839147933378,0.16365747409357764,0.24997428660647864,0,0.026634836516348365,0,0.06476273117559991,0.0,0.3557723550494758,16,0.022906411439180374,1.0292158126831055,0.026634836516348365
GSR_C13_D8_H5K_S123__00_GSR_C13_D8_H5K_S123__gsr_c13_d8_h5k__s123__f73564160,10001,270,0.7479224376731302,0.17716172706502648,0.16366030661094716,0.26933509256655513,0,0.02594115588441156,0,0.05335800456936784,6.023202495531377e-06,0.7051432903177101,16,-0.010069708339869976,0.9954754114151001,0.02594115588441156
GSR_C13_D8_H5K_S8__00_GSR_C13_D8_H5K_S8__gsr_c13_d8_h5k__s8__f73269248,10001,235,0.6509695290858726,0.18138076097070038,0.1868390421116372,0.2616273298588525,0,0.025391210878912107,0,0.07456697337478477,0.0010731144722016092,0.5177430504275075,15,0.015504924580454826,1.0258609056472778,0.025391210878912107
GSR_C13_D8_H5K_S99__00_GSR_C13_D8_H5K_S99__gsr_c13_d8_h5k__s99__f73662464,10001,187,0.518005540166205,0.20842761725024403,0.2157938127948884,0.3424208032439848,0,0.024766273372662732,0,0.04520956099676857,0.0,0.38776813065603516,16,-0.0033665820956230164,0.9857772588729858,0.024766273372662732
GSR_C15_D4_H10K_S123__00_GSR_C15_D4_H10K_S123__gsr_c15_d4_h10k__s123__f73596928,10001,314,0.8698060941828255,0.11230241317235021,0.1030301763051566,0.16015348475791752,0,0.030534446555344465,0,0.19320774194755372,0.011093208190600065,0.5874484930834789,16,0.002195830922573805,0.9743318557739258,0.030534446555344465
GSR_C15_D4_H10K_S8__00_GSR_C15_D4_H10K_S8__gsr_c15_d4_h10k__s8__f76447744,10001,299,0.8282548476454293,0.12295399068979639,0.1136160421358184,0.2392273740130829,0,0.027503499650034995,0,0.12753573671397983,0.0026313730138801017,0.7281266761258582,15,0.005043253768235445,1.0329649448394775,0.027503499650034995
GSR_C15_D4_H10K_S99__00_GSR_C15_D4_H10K_S99__gsr_c15_d4_h10k__s99__f75792384,10001,228,0.631578947368421,0.14651834931551486,0.14707936623763346,0.2208789904935571,0,0.02672232776722328,0,0.06869323910258762,0.000458616045190536,0.5698446346409033,16,0.027665602043271065,1.0223643779754639,0.02672232776722328
GSR_C15_D4_H5K_S123__00_GSR_C15_D4_H5K_S123__gsr_c15_d4_h5k__s123__f73891840,10001,221,0.6121883656509696,0.14383973850453546,0.1512863792235151,0.24005393199850855,0,0.027709729027097292,0,0.05926298637000146,2.6428002391969508e-05,0.5382480124288542,14,0.0005169578362256289,0.9735773205757141,0.027709729027097292
GSR_C15_D4_H5K_S8__00_GSR_C15_D4_H5K_S8__gsr_c15_d4_h5k__s8__f73039872,10001,294,0.814404432132964,0.17209837307437043,0.16509613027851722,0.3051791231345384,0,0.029034596540345965,0,0.08515522878514566,7.015434525299198e-06,0.5202210168618984,16,0.0012004710733890533,1.0241360664367676,0.029034596540345965
GSR_C15_D4_H5K_S99__00_GSR_C15_D4_H5K_S99__gsr_c15_d4_h5k__s99__f76939264,10001,304,0.8421052631578947,0.13210903693056641,0.1279174038178162,0.19743405679215315,0,0.028697130286971302,0,0.14107359617127688,0.021894864999699018,0.5470413937521543,15,-0.02157117798924446,1.030081033706665,0.028697130286971302
GSR_C15_D8_H10K_S123__00_GSR_C15_D8_H10K_S123__gsr_c15_d8_h10k__s123__f75988992,10001,282,0.7811634349030471,0.1252873447786572,0.11699938278542397,0.1884194487266402,0,0.02904709529047095,0,0.1215116178162348,0.006577237778969414,0.3901946844360433,15,0.0145574901252985,1.0529178380966187,0.02904709529047095
GSR_C15_D8_H10K_S8__00_GSR_C15_D8_H10K_S8__gsr_c15_d8_h10k__s8__f74285056,10001,270,0.7479224376731302,0.12049544615740479,0.1215083037149951,0.1646256417499908,0,0.02725977402259774,0,0.14929199242504174,0.005201796349248332,0.5881245167125259,15,0.0026342193596065044,0.9817800521850586,0.02725977402259774
GSR_C15_D8_H10K_S99__00_GSR_C15_D8_H10K_S99__gsr_c15_d8_h10k__s99__f74219520,10001,243,0.6731301939058172,0.12088855662567025,0.1085883906827646,0.20557479548592775,0,0.027309769023097688,0,0.09730986759267889,0.0019900290118720966,0.4227121986877529,15,-0.01766224019229412,0.9599044919013977,0.027309769023097688
GSR_C15_D8_H5K_S123__00_GSR_C15_D8_H5K_S123__gsr_c15_d8_h5k__s123__f75595776,10001,315,0.8725761772853186,0.11925246021430395,0.10735897787093038,0.20328636248528803,0,0.029047095290470955,0,0.16406673120312373,0.0,0.8486604937126121,15,-0.016738295555114746,1.0262994766235352,0.029047095290470955
GSR_C15_D8_H5K_S8__00_GSR_C15_D8_H5K_S8__gsr_c15_d8_h5k__s8__f76480512,10001,207,0.5734072022160664,0.1459199771397491,0.1408140940765738,0.2642871090211413,0,0.024735026497350265,0,0.08861934834726441,0.0,0.8670114354570638,14,0.002542350208386779,1.0372521877288818,0.024735026497350265
GSR_C15_D8_H5K_S99__00_GSR_C15_D8_H5K_S99__gsr_c15_d8_h5k__s99__f73695232,10001,277,0.7673130193905817,0.1289835372147414,0.12331996006649376,0.1958758306191015,0,0.027865963403659634,0,0.1195268439092937,0.003693448676195571,0.5619849646557431,14,-0.008203664794564247,0.9602057933807373,0.027865963403659634
