run_name,worker_outcome,ppo_dg_gradient,goal_conditioning,seed,window_low,window_high,samples,run_state,max_env_steps,coverage_auc,dg_density,silent_fraction,usage_entropy,option_success,action_tv,action_sensitivity,target_num,target_count,shuffle_num,shuffle_count,correct,wrong,timeout,command_entropy,pair_coverage,candidate_pairs,candidate_sources,candidate_count,behavior_candidate_count,commanded_num,commanded_count,first_shuffle_num,first_shuffle_count,largest_scc,reachable_pairs,top3_incoming,ppo_dg_norm,encoder_dg_norm,gradient_ratio,gradient_cosine,row_conflict,target_rate,shuffle_rate,target_advantage,first_commanded_rate,first_shuffle_rate,first_advantage
DGP_C15_FIRST_STOP_LEG_S8,FIRST,STOP,LEG,8,15000000,20000000,153,running,30244864.0,40.63275181699346,0.030993492810457515,0.0,0.9955267044444444,0.07148950769281046,0.0003969706616078431,0.005479631802614378,21.287581699346404,778.2352941176471,21.431372549019606,749.8562091503268,20.516339869281047,295.57516339869284,0.013071895424836602,0.9668949870588236,1.0,240.0,1.0,15.0,15.0,20.516339869281047,316.09150326797385,21.248366013071895,316.09150326797385,1.0,0.010348584614379085,1.000000003137255,0.0,0.11971070599346406,0.0,0.0,0.0,0.02735365751238767,0.02858064291193083,-0.042930643769072185,0.0649063314172284,0.06722219924734296,-0.03445093817287004
DGP_C15_FIRST_STOP_LEG_S99,FIRST,STOP,LEG,99,15000000,20000000,153,running,29753344.0,47.892525450980386,0.03236159781045752,0.0,0.9957635932679738,0.06796128690522876,0.0003596287009150327,0.0032341010771241834,21.202614379084967,802.4705882352941,21.483660130718953,774.4575163398692,20.07843137254902,310.65359477124184,0.13725490196078433,0.9641790784967319,1.0,240.0,1.0,15.0,15.0,20.07843137254902,330.73202614379085,21.640522875816995,330.73202614379085,1.0,0.02905773504575163,0.8092156154248366,0.0,0.11285680304575163,0.0,0.0,0.0,0.026421671634983466,0.027740269385274956,-0.04753370387208378,0.060709062882890005,0.06543219635587526,-0.0721836303231651
DGP_C15_FIRST_STOP_LEG_S123,FIRST,STOP,LEG,123,15000000,20000000,153,running,30867456.0,37.696381895424835,0.029045952718954243,0.0,0.9943908558169935,0.06268769495751633,0.00035724286895424837,0.0046776084875817,19.464052287581698,889.6993464052288,20.431372549019606,862.5098039215686,18.516339869281047,316.11764705882354,0.3333333333333333,0.9615338952941176,1.0,240.0,1.0,15.0,15.0,18.516339869281047,334.63398692810455,22.745098039215687,334.63398692810455,1.0,0.03327886771241831,0.6996458006535947,0.0,0.14169262630718954,0.0,0.0,0.0,0.021877112044900237,0.02368827862144221,-0.07645834488380843,0.05533311197484326,0.06797007754057696,-0.185919540229885
DGP_C15_HIT_JOINT_FILM_S8,HIT,JOINT,FILM,8,15000000,20000000,153,running,30081024.0,45.346336653594776,0.03382544422875817,0.0,0.9947709935947712,0.5083769006535946,0.0004209293978039216,0.006906048160784315,19.464052287581698,896.8169934640523,18.758169934640524,869.5424836601308,18.73202614379085,0.0,18.366013071895424,0.9943808513725492,1.0,240.0,1.0,15.0,15.0,18.73202614379085,18.73202614379085,0.0,18.73202614379085,15.732026143790849,0.9834150324183006,0.2958082800653595,0.1571385841895425,0.1260720934771242,1.2538491625490196,-0.01736689267366013,0.5163398692810458,0.021703482906138633,0.021572459410703546,0.006073646631597152,1.0,0.0,
DGP_C15_HIT_JOINT_FILM_S99,HIT,JOINT,FILM,99,15000000,20000000,153,running,29884416.0,56.34022305228759,0.03154819463398693,0.0,0.9873466615032678,0.49016527882352945,0.0004687976511764706,0.009074637662745097,18.830065359477125,945.3790849673203,18.202614379084967,919.0849673202614,17.627450980392158,0.0,18.679738562091504,0.9951015651633988,1.0,240.0,1.0,15.0,15.0,17.627450980392158,17.627450980392158,0.0,17.627450980392158,15.88888888888889,0.9930555555555556,0.28844902666666666,0.19216508036601304,0.13465400389542484,1.4406357711764706,-0.01416720806732026,0.525136165751634,0.019918005019254302,0.019805148627506756,0.005698336017069927,1.0,0.0,
DGP_C15_HIT_JOINT_FILM_S123,HIT,JOINT,FILM,123,15000000,20000000,153,running,29786112.0,49.37296590849673,0.033049539640522874,0.0,0.9939821338562091,0.5005013893464053,0.00039417066104575167,0.004299407938562092,20.241830065359476,938.8692810457517,19.529411764705884,912.1111111111111,18.0,0.0,18.37908496732026,0.9951551901960785,1.0,240.0,1.0,15.0,15.0,18.0,18.0,0.0,18.0,15.947712418300654,0.9967320261437909,0.30595059516339873,0.18126425694117648,0.14341821300653593,1.2710631673856208,-0.02316391447385621,0.5151143790849673,0.021559795888532306,0.021411220109922396,0.006939155164775279,1.0,0.0,
DGP_C15_HIT_JOINT_LEG_S8,HIT,JOINT,LEG,8,15000000,20000000,153,running,26345472.0,38.43083716993464,0.03294302740522876,0.0,0.9947784701960783,0.5204611200653595,0.00022218725509150325,0.002383163012418301,19.836601307189543,885.0130718954248,19.065359477124183,857.9346405228758,18.88235294117647,0.0,17.88235294117647,0.9954113845751635,1.0,240.0,1.0,15.0,15.0,18.88235294117647,18.88235294117647,0.0,18.88235294117647,15.92156862745098,0.9950980392156863,0.28267941137254904,0.14886784021568628,0.12319580263398694,1.2134716651633988,-0.012838818014379085,0.5126633986928104,0.022413907700488157,0.022222391516333494,0.00861816263177162,1.0,0.0,
DGP_C15_HIT_JOINT_LEG_S99,HIT,JOINT,LEG,99,15000000,20000000,153,running,30670848.0,43.060044862745094,0.033444273764705885,0.0,0.9935913812418302,0.517813726013072,0.00019936266110457518,0.0014356889181045749,19.73856209150327,872.5228758169935,18.980392156862745,845.1372549019608,18.705882352941178,0.0,18.11111111111111,0.9950631205228759,1.0,240.0,1.0,15.0,15.0,18.705882352941178,18.705882352941178,0.0,18.705882352941178,16.0,1.0,0.28759866254901956,0.1519269905098039,0.11492963013725489,1.3288198279084968,-0.011952337146405229,0.5130718954248366,0.02262240067118116,0.022458354600714586,0.007304456331870046,1.0,0.0,
DGP_C15_HIT_JOINT_LEG_S123,HIT,JOINT,LEG,123,15000000,20000000,153,running,29655040.0,40.448599169934646,0.029115764137254904,0.0,0.9864598318954249,0.44089938039215687,0.00010669947124183007,0.001281697493986928,16.22875816993464,1107.1699346405228,15.84967320261438,1083.2091503267975,14.875816993464053,0.0,19.30065359477124,0.9944510179738564,1.0,240.0,1.0,15.0,15.0,14.875816993464053,14.875816993464053,0.0,14.875816993464053,15.183006535947712,0.9515522875816994,0.35682888647058825,0.13442659316339872,0.14332729365359476,0.9439232830065358,-0.007235599841830064,0.5118464052287581,0.01465787469671836,0.014632144861251063,0.0017584459224042615,1.0,0.0,
DGP_C15_HIT_STOP_FILM_S8,HIT,STOP,FILM,8,15000000,20000000,153,running,25427968.0,43.145658483660135,0.03196048118300654,0.0,0.9925276135294118,0.508967485751634,0.0002777970312026144,0.007091623531372549,19.745098039215687,878.1307189542483,18.947712418300654,851.0130718954248,18.633986928104576,0.0,18.555555555555557,0.9943312205228758,1.0,240.0,1.0,15.0,15.0,18.633986928104576,18.633986928104576,0.0,18.633986928104576,15.209150326797385,0.9505718954248366,0.29668622555555557,0.0,0.13135714923529412,0.0,0.0,0.0,0.02248537445852003,0.02226488998118352,0.009902787641117738,1.0,0.0,
DGP_C15_HIT_STOP_FILM_S99,HIT,STOP,FILM,99,15000000,20000000,153,running,23330816.0,48.33098409803922,0.030128628620915032,0.0,0.9949929067320262,0.49383406738562086,0.00041891892529411764,0.0054125653875817,18.33986928104575,954.2222222222222,17.77124183006536,928.0653594771242,17.686274509803923,0.0,18.444444444444443,0.9952332201960784,1.0,240.0,1.0,15.0,15.0,17.686274509803923,17.686274509803923,0.0,17.686274509803923,15.92156862745098,0.9951797384313725,0.2947797634640523,0.0,0.12652941967320264,0.0,0.0,0.0,0.019219704649442452,0.019148696423792553,0.0037082537671686566,1.0,0.0,
DGP_C15_HIT_STOP_FILM_S123,HIT,STOP,FILM,123,15000000,20000000,153,running,24543232.0,45.44515915686275,0.031661289169934645,0.0,0.9958246529411766,0.5129176177124183,0.0004897020863398693,0.005543998284967319,19.41830065359477,917.8496732026143,18.69281045751634,891.1176470588235,18.143790849673202,0.0,17.764705882352942,0.9946461806535948,1.0,240.0,1.0,15.0,15.0,18.143790849673202,18.143790849673202,0.0,18.143790849673202,15.882352941176471,0.9926470588235294,0.31152158196078433,0.0,0.13893117829411764,0.0,0.0,0.0,0.021156297398722504,0.020976815484703794,0.008556204069659179,1.0,0.0,
DGP_C15_HIT_STOP_LEG_S8,HIT,STOP,LEG,8,15000000,20000000,153,running,24248320.0,53.439602882352936,0.03039012235947712,0.0,0.9942535064705884,0.5160986979738562,0.0002740817521960784,0.001602217089869281,19.633986928104576,881.281045751634,18.96078431372549,854.0980392156863,18.784313725490197,0.0,18.11111111111111,0.9947258853594771,1.0,240.0,1.0,15.0,15.0,18.784313725490197,18.784313725490197,0.0,18.784313725490197,15.882352941176471,0.9926470588235294,0.28234337183006536,0.0,0.13213326796732028,0.0,0.0,0.0,0.02227891660980747,0.02219977501779196,0.003564972705898173,1.0,0.0,
DGP_C15_HIT_STOP_LEG_S99,HIT,STOP,LEG,99,15000000,20000000,153,running,23986176.0,63.3200345359477,0.03113291625490196,0.0,0.994602367973856,0.5127879418300654,0.00021502689650980392,0.0009710423444444445,19.790849673202615,903.4248366013072,19.0,876.3006535947712,18.666666666666668,0.0,18.333333333333332,0.9944997847058823,1.0,240.0,1.0,15.0,15.0,18.666666666666668,18.666666666666668,0.0,18.666666666666668,15.941176470588236,0.9963235294117647,0.2741051424836602,0.0,0.1330052721895425,0.0,0.0,0.0,0.021906470656325963,0.02168205617793159,0.010350239689111529,1.0,0.0,
DGP_C15_HIT_STOP_LEG_S123,HIT,STOP,LEG,123,15000000,20000000,153,running,26148864.0,45.98850294117646,0.029548395673202613,0.0,0.9885337390849674,0.4846442673856209,0.00015509734465359476,0.0011147973537254901,18.320261437908496,975.4771241830065,17.66013071895425,949.7973856209151,17.169934640522875,0.0,18.640522875816995,0.9951960947058826,1.0,240.0,1.0,15.0,15.0,17.169934640522875,17.169934640522875,0.0,17.169934640522875,14.816993464052288,0.9268246175163398,0.304987205751634,0.0,0.14915622555555552,0.0,0.0,0.0,0.01878082118353345,0.018593576889463868,0.010070375118392816,1.0,0.0,
DGP_C15_FIRST_JOINT_FILM_S8,FIRST,JOINT,FILM,8,20000000,23000000,91,running,29687808.0,29.51683667032967,0.031065217648351646,0.0,0.9905430205494503,0.06386819463736264,0.0014129610020879116,0.02228073208241758,20.274725274725274,851.5494505494505,20.967032967032967,823.8351648351648,19.593406593406595,336.7032967032967,0.6483516483516484,0.9571966751648353,1.0,240.0,1.0,15.0,15.0,19.593406593406595,356.2967032967033,23.824175824175825,356.2967032967033,1.1758241758241759,0.051602564736263734,0.5972439614285714,0.27210103065934066,0.12611958957142855,2.1864488659340657,-0.00985903404065934,0.5034340659340659,0.023809216554180484,0.025450519548079874,-0.0644899602461444,0.05499182678962465,0.06686611356136077,-0.1775830258302583
DGP_C15_FIRST_JOINT_FILM_S99,FIRST,JOINT,FILM,99,20000000,23000000,91,running,31064064.0,38.49755847252747,0.03292712534065934,0.0,0.993755083846154,0.06522944463736265,0.0006897608125274726,0.014348107467032968,21.373626373626372,776.6593406593406,22.054945054945055,748.4505494505495,20.285714285714285,313.64835164835165,0.13186813186813187,0.9662692264835164,1.0,240.0,1.0,15.0,15.0,20.285714285714285,333.9340659340659,22.747252747252748,333.9340659340659,1.0,0.019551282978021972,0.9403551114285714,0.14016206942857143,0.11900346765934065,1.1811219394505494,-0.011765065309890108,0.5144230769230769,0.027519950195257232,0.029467471259304937,-0.06609053918845298,0.06074766355140187,0.06811899433987101,-0.10821256038647353
DGP_C15_FIRST_JOINT_FILM_S123,FIRST,JOINT,FILM,123,20000000,23000000,91,running,30670848.0,57.79296525274725,0.034708547043956046,0.0,0.9944293347252747,0.07063418253846154,0.0018577880764835161,0.021183631439560438,22.24175824175824,736.3956043956044,22.032967032967033,707.4505494505495,21.395604395604394,307.8021978021978,0.0,0.9678722598901097,1.0,240.0,1.0,15.0,15.0,21.395604395604394,329.1978021978022,21.21978021978022,329.1978021978022,1.0,0.00013736264835164836,0.03296703296703297,0.38774052582417584,0.15633231410989012,2.5417933274725275,-0.011118603706593415,0.4807692307692308,0.030203545633617858,0.031144179688713535,-0.030202563191496057,0.06499315685816337,0.06445905798310912,0.008285862247540132
