base,seed,contrast,metric,value
C15,99,DIR_minus_MON_LEG,film_modulation_norm_mean,0.0
C15,99,DIR_minus_MON_LEG,film_modulation_norm_max,0.0
C15,99,DIR_minus_MON_LEG,behavior_replay_mismatch,0.0
C15,99,DIR_minus_MON_LEG,option_success_fraction,0.016600045302000488
C15,123,DIR_minus_MON_LEG,coverage_auc,-0.7675134150649079
C15,123,DIR_minus_MON_LEG,dg_density,-0.0010669105931332239
C15,123,DIR_minus_MON_LEG,dg_silent_fraction,0.0
C15,123,DIR_minus_MON_LEG,dg_usage_entropy,0.0013885160810068742
C15,123,DIR_minus_MON_LEG,recruitment_total,0.0
C15,123,DIR_minus_MON_LEG,repeat_assignments,0.0
C15,123,DIR_minus_MON_LEG,bad_source_assignments,0.0
C15,123,DIR_minus_MON_LEG,duplicate_assignments,0.0
C15,123,DIR_minus_MON_LEG,predictive_assignments,0.0
C15,123,DIR_minus_MON_LEG,attempt_coverage,0.039391453721021374
C15,123,DIR_minus_MON_LEG,fully_tested_count,5.940789473684211
C15,123,DIR_minus_MON_LEG,zero_outdegree_count,-0.4671052631578948
C15,123,DIR_minus_MON_LEG,untested_zero_outdegree_count,-0.21052631578947373
C15,123,DIR_minus_MON_LEG,bad_source_count,-0.2565789473684211
C15,123,DIR_minus_MON_LEG,reliable_out_degree_mean,-0.8314144736842102
C15,123,DIR_minus_MON_LEG,predictive_event_count,-9.368421052631579
C15,123,DIR_minus_MON_LEG,predictive_context_groups,-6.973684210526316
C15,123,DIR_minus_MON_LEG,predictive_eligible_count,-0.05263157894736842
C15,123,DIR_minus_MON_LEG,predictive_reliability_gap,-0.012609649351552912
C15,123,DIR_minus_MON_LEG,largest_scc,-2.703947368421053
C15,123,DIR_minus_MON_LEG,reachable_pair_fraction,-0.09846491386231626
C15,123,DIR_minus_MON_LEG,reciprocal_fraction,-0.14401365331325094
C15,123,DIR_minus_MON_LEG,top3_incoming_share,0.1005616652730264
C15,123,DIR_minus_MON_LEG,target_hit_lift,12.336512553064447
C15,123,DIR_minus_MON_LEG,target_action_sensitivity,-0.002988261564735837
C15,123,DIR_minus_MON_LEG,target_value_span,0.004530199055328636
C15,123,DIR_minus_MON_LEG,decoder_parameter_count,0.0
C15,123,DIR_minus_MON_LEG,film_modulation_norm_mean,0.0
C15,123,DIR_minus_MON_LEG,film_modulation_norm_max,0.0
C15,123,DIR_minus_MON_LEG,behavior_replay_mismatch,0.0
