base,treatment,contrast,metric,mean_difference,sd_difference,n,seed_8_difference,seed_99_difference,seed_123_difference
C03,C07,O minus immediate control,dg_ca3_conflict_fraction,-0.005953354513463312,0.006741231523599384,3,0.0016718845741422461,-0.00841098361545134,-0.011120964499080843
C03,C07,O minus immediate control,intrinsic_reward_mean,-0.0016837831696166715,0.01537928610615965,3,-0.007750651756532834,-0.013104319621145333,0.015803621868828152
C03,C07,O minus immediate control,intrinsic_reward_nonzero_fraction,-0.0005850864651416113,0.008769452616616305,3,-0.003998800040849668,-0.007134331597222224,0.009377872242647058
C03,C07,O minus immediate control,active_target_fraction,-3.7232775054555725e-06,4.3941886132257976e-05,3,4.148794934644151e-05,-6.382761437939699e-06,-4.627502042486853e-05
C03,C07,O minus immediate control,target_hit_rate,-0.0006404037309368204,0.00876639322509252,3,-0.004076988868464054,-0.007167841094771241,0.009323618770424834
C03,C07,O minus immediate control,target_hit_lift,0.11658168222130261,0.1488467756589827,3,0.007020314924078175,0.05667761221430667,0.286047119525523
C03,C07,O minus immediate control,action_sensitivity,0.009828753663634796,0.010705848465801348,3,0.0058423907897782075,0.021955881747904117,0.001687988453222062
C03,C07,O minus immediate control,target_valid_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,value_span,-0.0007941274718122256,0.005052485763195537,3,0.0016492813547123587,0.0025721880982232776,-0.006603851868372313
C03,C07,O minus immediate control,option_success_fraction,-0.13980806414403169,0.16381285491188355,3,-0.10745609400708692,-0.31738313209582,0.005415033670811864
C03,C07,O minus immediate control,option_timeout_rate,0.036514714392701535,0.0251091909027724,3,0.027070886948529424,0.0649765114379085,0.01749674479166667
C03,C07,O minus immediate control,known_edge_fraction,0.03053739834130459,0.00407244898647239,3,0.034858383043529145,0.029983660218372843,0.02677015176201178
C03,C07,O minus immediate control,node_coverage_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,learned_deadline_fraction,0.00032686356106096753,0.0005661442949004878,3,0.0009805906831829025,0.0,0.0
C03,C07,O minus immediate control,selected_deadline_mean,-3.1061418046099427,2.3555111426280044,3,-2.3983660803900815,-5.734391750073901,-1.185667583365845
C03,C07,O minus immediate control,exploration_selection_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,forced_exploration_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,exploration_reward_nonzero_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,her_loss,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,her_accepted_segments,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,her_segment_length,0.0,0.0,3,0.0,0.0,0.0
C03,C07,O minus immediate control,passive_updates,,,0,,,
C03,C07,O minus immediate control,passive_known_edge_fraction,,,0,,,
C03,C07,O minus immediate control,frontier_selection_rate,,,0,,,
C03,C07,O minus immediate control,frontier_yield,,,0,,,
C03,C07,O minus immediate control,frontier_reached_fraction,,,0,,,
C03,C07,O minus immediate control,route_available_rate,,,0,,,
C03,C07,O minus immediate control,hop_count_mean,,,0,,,
C03,C07,O minus immediate control,waypoint_success_rate,,,0,,,
C03,C07,O minus immediate control,final_frontier_reach_rate,,,0,,,
C03,C07,O minus immediate control,validation_success_rate,,,0,,,
C03,C07,O minus immediate control,validation_timeout_rate,,,0,,,
C03,C08,X+O minus immediate control,coverage_auc,24.329452892296057,32.43447446933574,3,-3.8389193069895384,59.78891068223271,17.03836730164499
