condition,seed,window_low,window_high,terminal,target_hit_rate,target_hit_rate__n,timeout_rate,timeout_rate__n,option_success_fraction,option_success_fraction__n,elapsed_on_hit,elapsed_on_hit__n,elapsed_on_timeout,elapsed_on_timeout__n,target_selected_deadline,target_selected_deadline__n,selected_deadline_positive,selected_deadline_positive__n,learned_deadline_fraction,learned_deadline_fraction__n,known_controllability_time,known_controllability_time__n,known_edge_fraction,known_edge_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,target_valid_fraction,target_valid_fraction__n,selected_target_visits,selected_target_visits__n
C05,123,40000000,50000000,0,0.054655481557377046,305,0.09220831198770492,305,0.369934774471111,305,4.725942435811778,305,7.987128048255795,305,7.957246411432985,305,7.957246411432985,305,1.0,305,4.817474684168081,305,0.17624316523309613,305,1.1296152521352298,305,0.010287335973049774,305,1.0,305,3010.040417680584,305
C05,123,50000000,60000000,0,0.05247268178104575,306,0.08661088133169935,306,0.3746648266229754,306,5.394809800814959,306,8.221466125226488,306,8.403862749049866,306,8.403862749049866,306,1.0,306,4.923615404203827,306,0.13507625168445064,306,1.0143192659795675,306,0.007286323118784459,306,1.0,306,3031.0852840647976,306
C05,123,60000000,70000000,0,0.05135117827868853,305,0.08575979764344262,305,0.3711035564786098,305,5.275581407546997,305,8.460093990701143,305,8.531128920883429,305,8.531128920883429,305,1.0,305,4.926163171549312,305,0.14658469970597596,305,1.0499355837947033,305,0.007436399120593169,305,1.0,305,3000.114000064037,305
C05,123,70000000,80000000,0,0.05653816598360656,305,0.08703733350409835,305,0.3917024944649368,305,4.960157924401956,305,8.204068341802378,305,8.273219174244364,305,8.273219174244364,305,1.0,305,4.394594470790175,305,0.15896174932112458,305,1.1276950355435982,305,0.00697967656659054,305,1.0,305,2950.260225890113,305
C05,123,80000000,90000000,0,0.05818711577868853,305,0.08656506147540984,305,0.398605163615258,305,4.745919921749928,305,8.278528060287726,305,8.238082821642767,305,8.238082821642767,305,1.0,305,4.655763771494881,305,0.15588797834075865,305,1.1710409154657457,305,0.007263596588745713,305,1.0,305,2910.084944127818,305
C05,123,90000000,100040704,1,0.05966415156758958,307,0.08494821355863193,307,0.4093033046209851,307,4.691880259529387,307,8.444630327752824,307,8.284745815910812,307,8.284745815910812,307,0.9998380359298632,307,5.433241177847797,307,0.16277144393043333,307,1.1498844800243937,307,0.010115040256110921,307,1.0,307,2933.8589368192693,307
C05,8,0,10000000,0,0.02041655993852459,305,0.08475762038934426,305,0.1878116953324099,305,6.557981853797788,305,11.992161947781922,305,12.218123736147021,305,12.218123736147021,305,0.9440915650275887,305,8.71048768152956,305,0.20449453593674496,305,0.8743552665241429,305,0.0009070409454937765,305,0.9683817879098361,305,3002.64463588527,305
C05,8,10000000,20000000,0,0.023003650102459017,305,0.11027631915983606,305,0.1718960682388212,305,4.405749583635174,305,8.099575478913355,305,8.052658589159856,305,8.052658589159856,305,1.0,305,4.618289816184122,305,0.19644808822967966,305,0.9178983184157825,305,0.0026787213996419166,305,1.0,305,3336.5360055391907,305
C05,8,20000000,30000000,0,0.031094710553278688,305,0.1066070056352459,305,0.22513845733931806,305,4.445231529923736,305,8.032439815020952,305,7.989137408772453,305,7.989137408772453,305,1.0,305,4.6571086883544925,305,0.19871584929403713,305,0.9544473489776987,305,0.011513848257724378,305,1.0,305,3141.1191974577355,305
C05,8,30000000,40000000,0,0.03554047131147541,305,0.10668545081967214,305,0.24923502206802367,305,4.371818347837104,305,7.856050871239334,305,7.832921225125673,305,7.832921225125673,305,0.9999519606105617,305,4.6760326244792,305,0.18897541409633198,305,0.9821173497887908,305,0.02140036713576219,305,1.0,305,2964.6721239433914,305
C05,8,40000000,50000000,0,0.037997886782786885,305,0.10542392418032787,305,0.26399024915499764,305,4.409388879088104,305,7.843305290722456,305,7.833959604482182,305,7.833959604482182,305,1.0,305,4.805038136341532,305,0.15627049178373617,305,0.9877127188151,305,0.02691763042182219,305,1.0,305,2718.822391297387,305
C05,8,50000000,60000000,0,0.04777337367238562,306,0.098284952001634,306,0.3259120396539277,306,4.507842626446992,306,7.929198272867141,306,7.93839006642111,306,7.93839006642111,306,1.0,306,4.720475795222264,306,0.16625816993464052,306,1.0284219302383124,306,0.033377691239021186,306,1.0,306,2897.306058995864,306
