id,low_m,n,lift_mean,lift_median,lift_max,fraction_gt2,fraction_gt100,success,target_rate,density,silence,entropy,edges,sensitivity,coverage,recruitment,target_activation_rate,shuffled_activation_rate,pooled_lift
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,5.0,153,37.36745491875817,0.92660546,2958.5798,0.013071895424836602,0.013071895424836602,0.05741915269281046,0.0007659313725490196,0.013546214411764705,0.13031045751633988,0.7731756047058823,0.0013071896470588235,0.004178702030718954,58.48173739869281,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,10.0,152,90.39527897453948,0.0,6779.661,0.02631578947368421,0.019736842105263157,0.031118993098684215,0.0004465203559210526,0.012473256924342105,0.22327302631578946,0.7213286473026316,5.482456578947368e-05,0.010292066836842105,41.351636657894744,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,15.0,153,110.1160484714379,0.8793774,9661.836,0.026143790849673203,0.0196078431372549,0.07130508131372548,0.0010180504539215687,0.015028810212418302,0.17647058823529413,0.767250116993464,0.001388889,0.011107647275816993,39.90207446405229,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,20.0,152,0.6944076325657895,0.865423625,1.8278931,0.0,0.0,0.08158582207236842,0.001175729858223684,0.014595433223684208,0.16447368421052633,0.7766218383552632,0.005619517980263157,0.01019684411381579,37.16716646710526,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,25.0,153,41.62820818333333,0.8958334,3731.3433,0.0196078431372549,0.013071895424836602,0.08295357868627452,0.0011776194928104573,0.012791452851633987,0.18218954248366012,0.7769658558823529,0.001715686411764706,0.016833135028758172,37.621715470588235,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,30.0,153,88.52496659150326,0.90415335,3861.004,0.0457516339869281,0.032679738562091505,0.051205915359477126,0.0006733813369281047,0.0161753136503268,0.13562091503267973,0.8272262720915032,0.0,0.016836108722875817,30.920265058823524,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,35.0,152,248.1205603168421,0.907439,7117.4375,0.07236842105263158,0.07236842105263158,0.058649869934210536,0.0007709704006578947,0.015065644907894736,0.1669407894736842,0.805526163486842,0.0,0.015720410217105265,28.43035704605263,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,40.0,153,138.83456181111112,0.9101123,5376.344,0.05228758169934641,0.0457516339869281,0.051293547464052285,0.0006797640960784315,0.015473010496732024,0.17851307189542484,0.7837228375816994,0.0,0.02056581720261438,43.083354725490196,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,45.0,152,99.91221593131579,0.0,8403.361,0.019736842105263157,0.019736842105263157,0.01600107350657895,0.0002152292355263158,0.013572291315789473,0.3071546052631579,0.7402990758552632,0.0,0.018550305929605264,44.63176685526315,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,50.0,153,43.10535602960785,0.0,3533.5688,0.013071895424836602,0.013071895424836602,0.015189250960784313,0.0001851000823529412,0.015573738513071896,0.21323529411764705,0.779225344640523,2.723311764705882e-05,0.016852650035947714,52.16141322222222,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,55.0,153,44.90430235287581,0.0,6802.721,0.006535947712418301,0.006535947712418301,0.03071300106535948,0.0004084967316993464,0.01860674689869281,0.20833333333333334,0.7587813945751634,0.0,0.022285670578431373,41.04051667320261,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,60.0,152,69.34902200078947,0.0,4273.5044,0.019736842105263157,0.019736842105263157,0.0284964692368421,0.00038869757598684207,0.015195545414473684,0.24671052631578946,0.7661165943421052,0.0,0.020675985276315787,38.67125613157894,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,65.0,153,29.94727818143791,0.0,4514.673,0.006535947712418301,0.006535947712418301,0.03358437467320261,0.00045317606601307187,0.016974555088235293,0.28227124183006536,0.7348403252941177,0.0,0.019285773405228756,39.3244077124183,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,70.0,152,95.84173407302633,0.88158553,3952.5693,0.02631578947368421,0.02631578947368421,0.044749996598684214,0.0005942896832236842,0.015636444105263155,0.26069078947368424,0.7502836965789473,0.002302631736842105,0.02110915514473684,31.688742644736845,0.0,,,
00_DPR_C13_DIR_FILM_S123_20260904_060837_090532,75.0,1,0.44298247,0.44298247,0.44298247,0.0,0.0,0.041666668,0.00048828125,0.011566162,0.0625,0.7740438,0.004166667,0.022131607,,0.0,,,
00_DPR_C13_MON_LEG_S99_20260904_060835_632568,0.0,153,50.6672904375817,0.0,3184.7134,0.0196078431372549,0.0196078431372549,0.041502163522875814,0.00047870711176470587,0.012376174414379087,0.10334967320261437,0.8067051791503267,0.008415033274509804,0.0003654629590457516,85.49173558730159,0.0,,,
