run_name,family,factor1,factor2,goal_conditioning,seed,delta_coverage_auc,delta_option_success,delta_action_sensitivity,delta_target_rate,delta_shuffle_rate,delta_target_advantage,delta_reachable_pairs
DPR_C13_DIR_FILM_S99,DPR,C13,DIR,FILM,99,5.712929682403434,-0.012783752620783784,-0.002041159404124391,,,,-0.003933195242679237
DPR_C13_DIR_LEG_S123,DPR,C13,DIR,LEG,123,-9.680664085245905,0.018513567301639347,0.003632662619672133,,,,-0.0012704919049180328
DPR_C13_DIR_LEG_S8,DPR,C13,DIR,LEG,8,9.343863588551642,-0.019190922811069627,0.01041711725139317,,,,-0.0009880701975328674
DPR_C13_DIR_LEG_S99,DPR,C13,DIR,LEG,99,8.574698642622955,0.020042516439344262,0.0022094864478688515,,,,-0.00012295082950819673
DPR_C13_MON_FILM_S123,DPR,C13,MON,FILM,123,9.58253910819672,0.0878847663704918,-0.010447011901639346,,,,0.0004098360983606557
DPR_C13_MON_FILM_S8,DPR,C13,MON,FILM,8,-17.379437409836065,0.009244710085245899,0.010126670259672128,,,,0.00023224045573770494
DPR_C13_MON_FILM_S99,DPR,C13,MON,FILM,99,-11.053901268852464,-0.00395643813442623,-0.0053918071272131135,,,,0.0010519126295081968
DPR_C13_MON_LEG_S123,DPR,C13,MON,LEG,123,-2.441828819672132,-0.009583101963934425,0.008180430889180327,,,,-4.098362295081959e-05
DPR_C13_MON_LEG_S8,DPR,C13,MON,LEG,8,-1.9244418328634012,0.00804414857661927,-0.010231003774155615,,,,-1.3248146319515266e-05
DPR_C13_MON_LEG_S99,DPR,C13,MON,LEG,99,-5.046456390163939,0.013800936455737711,0.01579312964229508,,,,0.0
DPR_C13_PRED_FILM_S123,DPR,C13,PRED,FILM,123,-18.976200626229513,0.001640046734426229,0.010670080977704919,,,,-0.00035519128524590164
DPR_C13_PRED_FILM_S8,DPR,C13,PRED,FILM,8,15.037001409836066,-0.01535610071147541,0.0031290198291803323,,,,-1.3661203278688523e-05
DPR_C13_PRED_FILM_S99,DPR,C13,PRED,FILM,99,6.824498285245895,-0.00527521193442623,0.014053900943934427,,,,0.0
DPR_C13_PRED_LEG_S123,DPR,C13,PRED,LEG,123,-7.470228880565141,-0.0009458459897648845,0.017568485971209018,,,,0.0
DPR_C13_PRED_LEG_S8,DPR,C13,PRED,LEG,8,-5.484041250862816,-0.0013969754044974112,0.006843439494041195,,,,-0.0007127193552631578
DPR_C13_PRED_LEG_S99,DPR,C13,PRED,LEG,99,-15.334364487860128,-0.006822844411818529,-0.0028416639707390676,,,,0.0
DPR_C15_DIR_FILM_S123,DPR,C15,DIR,FILM,123,6.147977036065576,0.015245927547540977,0.006280390322,,,,0.05102459344262289
DPR_C15_DIR_FILM_S8,DPR,C15,DIR,FILM,8,4.849326695081984,0.019853600957377038,0.0038014896901639346,,,,0.02448087704918034
DPR_C15_DIR_FILM_S99,DPR,C15,DIR,FILM,99,-10.120813822950822,-0.042971603809836056,0.0017887200331475409,,,,0.004385247409836146
DPR_C15_DIR_LEG_S123,DPR,C15,DIR,LEG,123,-0.3323845245901573,0.005166613527868846,0.0032877830712131134,,,,-0.21076502826229493
DPR_C15_DIR_LEG_S8,DPR,C15,DIR,LEG,8,-12.170020177049174,-0.010571048377049197,0.002012867877639344,,,,-0.0872677606885246
DPR_C15_DIR_LEG_S99,DPR,C15,DIR,LEG,99,-0.433280639344261,-0.003073235554098358,0.002910064278655738,,,,0.02336065573770496
DPR_C15_MON_FILM_S123,DPR,C15,MON,FILM,123,-6.924034629508199,-0.009785013101639317,0.003977525654688525,,,,-0.015109292000000107
DPR_C15_MON_FILM_S8,DPR,C15,MON,FILM,8,-2.136349059016389,0.0165681640885246,0.0040584143097049195,,,,-0.0008879770491801997
DPR_C15_MON_FILM_S99,DPR,C15,MON,FILM,99,3.6799764655737803,-0.013138435062295117,0.004811183450819675,,,,-0.0014480872131147349
DPR_C15_MON_LEG_S123,DPR,C15,MON,LEG,123,-8.427769216393443,-0.024467708931147553,0.006865928477704921,,,,-0.11471311616393454
DPR_C15_MON_LEG_S8,DPR,C15,MON,LEG,8,2.7862496426229413,-0.008978011331147534,0.0034913287224590164,,,,0.023961749114753794
DPR_C15_MON_LEG_S99,DPR,C15,MON,LEG,99,2.3249400131147553,0.023415889262295098,0.0028334306553770483,,,,0.08698086586885245
DPR_C15_PRED_FILM_S123,DPR,C15,PRED,FILM,123,-4.4491702852458985,-0.01848817449508197,0.0007754727823278693,,,,0.016106555934426336
DPR_C15_PRED_FILM_S8,DPR,C15,PRED,FILM,8,1.8895734561807842,-0.005042955808148425,0.0034122224326844017,,,,-0.02646718783901969
DPR_C15_PRED_FILM_S99,DPR,C15,PRED,FILM,99,8.13388073770492,0.019277951357377032,0.001396278254786885,,,,-0.0007650267540985078
