family,run_name,factor1,factor2,goal_conditioning,seed,window_low_m,window_high_m,samples,coverage_auc,option_success,action_sensitivity,target_rate,shuffle_rate,target_advantage,reachable_pairs
SAT,SAT_C15_ARR_MON_FILM_S99,ARR,MON,FILM,99,45,55,305,44.840832016393435,0.37705298577704915,0.0045115442242622955,0.010696473715162948,0.01057939220125394,0.011066941434984212,0.8014071013442623
SAT,SAT_C15_ARR_MON_FILM_S99,ARR,MON,FILM,99,55,65,305,44.393954672131144,0.3424140655934427,0.005329797676721312,0.009491000865832766,0.009383237085376568,0.011484712522519924,0.9032786863606557
SAT,SAT_C15_ARR_MON_FILM_S99,ARR,MON,FILM,99,65,75,305,43.85698129836066,0.3641501126098361,0.006160098695081967,0.009952480150640146,0.009917336637852868,0.0035436442333862672,0.8754508155409835
SAT,SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,5,15,305,43.72421257704918,0.35331007046229507,0.00021678296878688524,0.010817225180695715,0.010606378479541512,0.019879236023955027,0.9191120188524591
SAT,SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,15,25,305,43.72980654754098,0.3299079227016394,0.0003304880325704918,0.008949618566204904,0.008877033271573676,0.0081767514450648,0.8590710364262294
SAT,SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,25,35,306,32.056357725490194,0.3566584702287582,0.0005362836054575163,0.009966277752340337,0.009811197429071375,0.01580646240075101,0.7181644773856208
SAT,SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,35,45,305,42.75622753770492,0.38038537369180325,0.0007138797203606557,0.01088038168018335,0.010546554697882207,0.03165270478028037,0.7787704886885246
SAT,SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,45,55,305,38.50102652786885,0.3648855557639344,0.0009661557935409836,0.01061531559512717,0.010364461888533677,0.024203254282888942,0.8605737602950821
SAT,SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,55,65,305,27.799369298360656,0.3662708643737705,0.001547885637147541,0.012622715500155859,0.012499754096748176,0.009837105790718947,0.9094535504262296
SAT,SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,65,75,305,28.004429114754103,0.3882281924688525,0.0018082343855737705,0.012090163172589681,0.01202132226946151,0.005726566644257858,0.8528688523606557
SAT,SAT_C15_ARR_MON_LEG_S8,ARR,MON,LEG,8,5,15,305,64.72458419344262,0.44960968622950814,0.0005444169167868853,0.015183638083228247,0.015029639320960735,0.010246337851417486,0.9743852459016393
SAT,SAT_C15_ARR_MON_LEG_S8,ARR,MON,LEG,8,15,25,305,50.167845009836064,0.4135735805114754,0.0007227330943606558,0.01349877505839838,0.013339552627304643,0.011936114766534667,0.9106284119344262
SAT,SAT_C15_ARR_MON_LEG_S8,ARR,MON,LEG,8,25,35,306,43.668799513071896,0.41639596357843134,0.0010213325927124182,0.013490582046495843,0.013386281776669375,0.0077915788391853535,0.8453703641176471
SAT,SAT_C15_ARR_MON_LEG_S8,ARR,MON,LEG,8,35,45,305,43.57206487213115,0.41479789486229507,0.0015615471953114755,0.013276287211979685,0.013199251011468887,0.005836406963081631,0.9134426217704917
SAT,SAT_C15_ARR_MON_LEG_S8,ARR,MON,LEG,8,45,55,305,48.90369822622951,0.32032913744918035,0.001314089771147541,0.008445883222668184,0.008424727192765455,0.002511182785941868,0.8989344256393442
SAT,SAT_C15_ARR_MON_LEG_S8,ARR,MON,LEG,8,55,65,305,44.28076769180328,0.3433750938885246,0.002256870060327869,0.0097878946773182,0.009647919045474069,0.014508375452196187,0.899262292229508
SAT,SAT_C15_ARR_MON_LEG_S8,ARR,MON,LEG,8,65,75,305,43.84030529836066,0.3328853836983606,0.0033473091677049182,0.009537147500734824,0.009472045313644817,0.00687308653350982,0.8621311479344264
SAT,SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,5,15,305,44.305925721311475,0.45011245347540985,0.00044737104139344267,0.0165736677243017,0.016487240580650257,0.005242062383251422,0.9143169379016395
SAT,SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,15,25,305,46.29985589508197,0.4485203842950819,0.0008759504824262296,0.018108886984967678,0.01799998220466416,0.006050271553896369,0.9605464479344262
