base,openness,policy_id,target_env_steps,valid_sample_count__mean,valid_sample_count__sd,valid_sample_count__n,in_bounds_fraction__mean,in_bounds_fraction__sd,in_bounds_fraction__n,visited_cell_fraction__mean,visited_cell_fraction__sd,visited_cell_fraction__n,active_unit_fraction__mean,active_unit_fraction__sd,active_unit_fraction__n,silent_unit_fraction__mean,silent_unit_fraction__sd,silent_unit_fraction__n,active_unit_mean_spatial_information__mean,active_unit_mean_spatial_information__sd,active_unit_mean_spatial_information__n,active_only_map_cosine__mean,active_only_map_cosine__sd,active_only_map_cosine__n,unique_active_peak_bins__mean,unique_active_peak_bins__sd,unique_active_peak_bins__n,mean_physical_step_distance__mean,mean_physical_step_distance__sd,mean_physical_step_distance__n,stationary_step_fraction__mean,stationary_step_fraction__sd,stationary_step_fraction__n,path_efficiency__mean,path_efficiency__sd,path_efficiency__n,mean_absolute_circular_yaw_change__mean,mean_absolute_circular_yaw_change__sd,mean_absolute_circular_yaw_change__n,mono_field_unit_fraction__mean,mono_field_unit_fraction__sd,mono_field_unit_fraction__n,mean_primary_secondary_peak_distance__mean,mean_primary_secondary_peak_distance__sd,mean_primary_secondary_peak_distance__n,median_dominant_peak_nearest_neighbor_distance__mean,median_dominant_peak_nearest_neighbor_distance__sd,median_dominant_peak_nearest_neighbor_distance__n,graph_reliable_global_efficiency__mean,graph_reliable_global_efficiency__sd,graph_reliable_global_efficiency__n,graph_grounded_controllability__mean,graph_grounded_controllability__sd,graph_grounded_controllability__n
SAT,0.75,0,5000000,100000.0,0.0,3,1.0,0.0,3,0.8947368421052632,0.009987676663335162,3,1.0,0.0,3,0.0,0.0,3,0.08183557291825612,0.009233289130387037,3,0.18943657728741745,0.05468740179951317,3,15.333333333333334,1.1547005383792515,3,17.951743443806965,1.1248143708840168,3,0.014771923489377607,0.00687631905938995,3,0.21948882070511386,0.024756296708942183,3,8.03122091293335,0.2678087736450258,3,0.0,0.0,3,1106.585469563802,144.29685081439305,3,184.5177968343099,51.40989589364448,3,0.3838425874710083,0.16228025515352823,3,0.0,0.0,3
SAT,0.75,0,50000000,100000.0,0.0,3,1.0,0.0,3,0.8891966759002771,0.012074512308976947,3,1.0,0.0,3,0.0,0.0,3,0.10793610413869222,0.013840348905856264,3,0.17898244241605618,0.012952895790761445,3,14.333333333333334,1.1547005383792515,3,17.71951675415039,0.556636039289269,3,0.021381629089869708,0.006414100832267697,3,0.22003341609117824,0.0034519997956732546,3,8.41414705912272,0.021297781996879154,3,0.0,0.0,3,1341.1323649088542,228.08738988253972,3,192.27718607584634,44.43609547454116,3,0.518750011920929,0.029170719633053187,3,0.0,0.0,3
SAT,0.75,0,75000000,100000.0,0.0,3,1.0,0.0,3,0.8873499538319484,0.004231371832830897,3,1.0,0.0,3,0.0,0.0,3,0.09798523286978404,0.003005607977182866,3,0.19837432360792726,0.03485284237120648,3,14.666666666666666,1.5275252316519468,3,17.64633305867513,1.0622814663956466,3,0.023872915052423824,0.01136057306444586,3,0.22948164294508513,0.011614049372282354,3,8.429107666015625,0.010931025123824486,3,0.020833333333333332,0.03608439182435161,3,1124.13330078125,92.20892904631886,3,202.04029337565103,72.9768797966897,3,0.6322453618049622,0.04262666709024609,3,0.0,0.0,3
WAYPOINT_HER,0.0,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.5512465373961218,0.0,3,1.0,0.0,3,0.0,0.0,3,0.03273501371343931,0.005843935535087167,3,0.3514445969897027,0.031892923969299616,3,43.0,2.0,3,8.976645787556967,0.437956003605949,3,0.20316001727717467,0.03093453646338541,3,0.3411355830775098,0.012349930636645152,3,3.7889861265818277,0.24580639140292104,3,0.020833333333333332,0.023867581744561668,3,961.7064615885416,67.31331596128818,3,33.333333333333336,57.735026918962575,3,0.008983685945471128,0.0005000344026405375,3,0.0,0.0,3
WAYPOINT_HER,0.0,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.5512465373961218,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0340526153643926,0.006913570703113047,3,0.314682623698286,0.01755598261079568,3,48.666666666666664,2.516611478423583,3,9.422537485758463,0.10110468527975337,3,0.19119919045982262,0.014080710072088306,3,0.3290586973884741,0.012736002488207188,3,4.191266695658366,0.1410474638556984,3,0.010416666666666666,0.018042195912175804,3,1051.4030354817708,19.0517261957268,3,33.333333333333336,28.867513459481287,3,0.006668871268630028,0.00045532166369030124,3,0.0,0.0,3
WAYPOINT_HER,0.0,0,5000000,100000.0,0.0,3,1.0,0.0,3,0.5512465373961218,0.0,3,1.0,0.0,3,0.0,0.0,3,0.022582666327555973,0.0014995578400818171,3,0.2765307576340293,0.05069721117587415,3,47.0,4.358898943540674,3,8.69430160522461,1.2632391395860127,3,0.3050578220411221,0.06318172336174449,3,0.36810353186077777,0.02516401548681763,3,3.670879364013672,0.189521226628903,3,0.052083333333333336,0.07707629472369136,3,1038.274393717448,56.4039956103425,3,33.333333333333336,57.735026918962575,3,0.00569058652035892,0.0031437998089837746,3,0.0,0.0,3
WAYPOINT_HER,0.0,0,50000000,100000.0,0.0,3,1.0,0.0,3,0.5475530932594644,0.006397232899608045,3,1.0,0.0,3,0.0,0.0,3,0.03323503086964289,0.005591967654281918,3,0.33980267652263346,0.024800565519061072,3,48.333333333333336,2.516611478423583,3,9.60424009958903,0.4437558894960531,3,0.1788626130423342,0.01102533384974993,3,0.31314239870075156,0.017836743923996312,3,3.5160463651021323,0.09181605242273021,3,0.0,0.0,3,1084.2867024739583,74.76659581126438,3,0.0,0.0,3,0.011629976332187653,0.007330275217477449,3,0.0,0.0,3
WAYPOINT_HER,0.0,0,75000000,100000.0,0.0,3,1.0,0.0,3,0.5512465373961218,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0328689261029164,0.006788567093960205,3,0.3263501848067419,0.02841434994547464,3,42.666666666666664,3.5118845842842465,3,8.943933486938477,0.2534807089460611,3,0.20404702880963643,0.009791801812160342,3,0.33727254807879586,0.029850404185699484,3,3.9127558867136636,0.21988406652195072,3,0.046875,0.03125,3,1080.96484375,27.631062195240393,3,83.33333333333333,28.867513459481287,3,0.007208994744966428,0.001489403546783285,3,0.0,0.0,3
WAYPOINT_HER,0.35,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.7313019390581718,0.01269411549849262,3,1.0,0.0,3,0.0,0.0,3,0.028838011125723522,0.002723432940070885,3,0.29877011893974587,0.03884806666615174,3,42.0,5.0,3,11.334672927856445,0.5676051321381055,3,0.1251946722057731,0.028526692918958315,3,0.3764960095570846,0.017330945567329212,3,4.35822073618571,0.7924276439266673,3,0.057291666666666664,0.05915529526875285,3,1118.736572265625,48.20114759983033,3,33.333333333333336,57.735026918962575,3,0.005676807835698128,0.0005612161126218049,3,0.0,0.0,3
WAYPOINT_HER,0.35,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.7313019390581718,0.01269411549849262,3,1.0,0.0,3,0.0,0.0,3,0.029114947964747746,0.00381923288115527,3,0.27456404059370704,0.01951548444274676,3,47.666666666666664,4.725815626252608,3,10.300982157389322,0.1052015918512504,3,0.17690018842683694,0.019600403155948194,3,0.3847829608849644,0.019685920503801253,3,4.023601214090983,0.33895578342745475,3,0.010416666666666666,0.009021097956087902,3,1136.1454671223958,28.997385167738152,3,100.0,0.0,3,0.005304783931933343,0.0030648149335033396,3,0.0,0.0,3
