condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,best_corr_to_latent_probs,best_corr_to_latent_samples
encourage,0.5,8,0.3338623046875,0.37890625,0.06647969840217742,10.68359375,9.469187509230185,1.0,0.23046875,1.905259491466388,7.182980948615105,0.370180876792364,0.8706422551374762
punish,0.5,8,0.24725341796875,0.24609375,0.010762801764906441,7.912109375,12.189506639443497,1.0,0.6015625,1.3690435958093952,6.832149464377685,0.10986818488692629,0.4807002705205319
no_learning,0.5,9,0.31964111328125,0.32421875,0.030635939901778597,10.228515625,2.82368044122044,1.0,0.0,1.6942736978324167,6.283364906586719,0.2730001104990408,0.47458685732509964
encourage,0.5,9,0.32275390625,0.3466796875,0.06856484188506971,10.328125,8.559405804982902,1.0,0.19140625,1.8811810743507649,7.169977107905297,0.3834160912890857,0.8624265851697965
punish,0.5,9,0.24786376953125,0.2470703125,0.011589449586198834,7.931640625,12.098441226903969,1.0,0.578125,1.3798844716275909,6.830934284736347,0.11493984596182777,0.48235217821545334
no_learning,0.5,10,0.30865478515625,0.3154296875,0.03294897987265564,9.876953125,3.2832577330378334,1.0,0.0,1.6156549520766774,6.3484492243053054,0.22258440718463035,0.44540435482144014
encourage,0.5,10,0.3232421875,0.333984375,0.06789216736686574,10.34375,8.679346443569354,1.0,0.193359375,1.872039589961117,7.03692973437397,0.3849769949249422,0.8595436914759486
punish,0.5,10,0.25177001953125,0.251953125,0.01132938114962619,8.056640625,12.488851076644305,1.0,0.599609375,1.3917004048582995,6.862632755002588,0.11328899366327193,0.4868935678731202
no_learning,0.5,11,0.323486328125,0.326171875,0.031099912713225798,10.3515625,2.0013270743668437,1.0,0.0,1.6836086404066073,6.2847205122348395,0.26008236503664367,0.49488028374719445
encourage,0.5,11,0.31805419921875,0.3369140625,0.06863975246646847,10.177734375,8.255304423032706,1.0,0.193359375,1.8997448049580752,7.155053162699155,0.39927373592459386,0.858587317230785
punish,0.5,11,0.25140380859375,0.251953125,0.011254161224072037,8.044921875,12.36473428344283,1.0,0.59375,1.385935397039031,6.874676997735539,0.11333078793497056,0.48907871686678167
no_learning,0.5,12,0.32550048828125,0.3251953125,0.02790308131888379,10.416015625,2.3185683351490547,1.0,0.0,1.6957074721780605,6.213010199308153,0.27022014303361186,0.49348687956244547
encourage,0.5,12,0.31640625,0.34765625,0.07396453688129503,10.125,8.5625,1.0,0.1953125,1.8844056706652126,7.158956123935212,0.3879931716603167,0.8741190316501488
punish,0.5,12,0.24774169921875,0.25,0.009668824129122514,7.927734375,12.401040008984866,1.0,0.595703125,1.3848515864892528,6.889120362563652,0.1126034702895114,0.4836501147798469
no_learning,0.5,13,0.32177734375,0.3212890625,0.03574805706586548,10.296875,2.812803803036216,1.0,0.0,1.7039431157078215,6.1534112622917805,0.25839434720594545,0.4686741698412519
encourage,0.5,13,0.3076171875,0.3212890625,0.06979177294670856,9.84375,8.043036098855953,1.0,0.23828125,1.895449417074088,7.26487871144854,0.42148978413770766,0.8893994863268138
punish,0.5,13,0.24993896484375,0.25,0.009102017960183032,7.998046875,12.462208344041706,1.0,0.61328125,1.3792522734927586,6.875873350908798,0.10918730869392032,0.48512248184000734
no_learning,0.5,14,0.3248291015625,0.3251953125,0.030184461215589507,10.39453125,2.1759986426405318,1.0,0.0,1.7189922480620154,6.441347395814828,0.27805688650955573,0.4743382297673131
encourage,0.5,14,0.31951904296875,0.3779296875,0.07349218300849493,10.224609375,9.01942022824428,1.0,0.1953125,1.891257225433526,7.19616921381503,0.38256547845637967,0.882496596301801
punish,0.5,14,0.24456787109375,0.24609375,0.011603584241832735,7.826171875,12.31515907968545,1.0,0.619140625,1.3798209366391185,6.87720109907746,0.11052983878955758,0.47770816149421036
no_learning,0.5,15,0.31829833984375,0.3232421875,0.031630994956046016,10.185546875,2.6697718502107506,1.0,0.0,1.6752328943141663,6.38275543995055,0.2644100724985341,0.4601200520740054
encourage,0.5,15,0.31292724609375,0.318359375,0.07511240860153734,10.013671875,8.361802135594575,1.0,0.220703125,1.8787101502381824,7.246351087232879,0.39590458051540356,0.8909750470778912
punish,0.5,15,0.25054931640625,0.25,0.01111560629606349,8.017578125,12.326835071684926,1.0,0.59765625,1.3756702412868633,6.829110756224361,0.10978931335100252,0.4853516817609128
no_learning,0.5,16,0.31756591796875,0.3095703125,0.03449512430305495,10.162109375,2.8509678050685014,1.0,0.0,1.704225352112676,6.51100413526207,0.2850554544061883,0.46115490414633575
encourage,0.5,16,0.3089599609375,0.3203125,0.06994948454742624,9.88671875,7.892518917202444,1.0,0.232421875,1.8973013493253372,7.207985040745103,0.4197360769798817,0.8695148605135478
punish,0.5,16,0.2515869140625,0.251953125,0.012867276402752889,8.05078125,12.552754280023505,1.0,0.59765625,1.396341463414634,6.852481513557894,0.11318203503806565,0.4889608164973831
